id,name,username,description,location,profile_image_url,url,verified,followers_count,following_count,tweet_count,listed_count
72064417,Alfie Deyes,AlfieDeyes,Do more of what makes you happy!,Instagram: AlfieDeyes,https://pbs.twimg.com/profile_images/1158141497809743873/Bdu18dJS_normal.jpg,https://t.co/Dd9i5KxNnW,TRUE,4917492,323,22114,5048
216589761,Callux,Callux,Founded @notwoways and @afterpartyldn | https://t.co/zlnXLp4lYX,business@callux.co.uk,https://pbs.twimg.com/profile_images/1341791208125947906/pJQGxUol_normal.jpg,https://t.co/NbXTg0ajhM,TRUE,1475969,919,24304,481
75051887,CAMMI PHAM,cammipham,"Unlearner. eCommerce Marketer. Partner https://t.co/z93Njlqyxc
Write - https://t.co/nI8kSp9n69
IG - https://t.co/rwCHg2IzgI","Toronto, Canada",https://pbs.twimg.com/profile_images/965034412323885056/gtw7ou_o_normal.jpg,https://t.co/TB0a500Hc6,TRUE,1004559,130597,1436,6023
743662396892282881,Twomad,twomad,"THIS IS THE CHINESE AVIATION GUARD, YOU HAVE ENTERED OUR AIRSPACE GO NOW 
我一直在寻找一个男人
日本各地
只是找到我的武士
坚强的人
但还是有点害羞
是的，我需要我的武士","Los Angeles, CA",https://pbs.twimg.com/profile_images/1355782121638350849/cjK7Hf7H_normal.jpg,https://t.co/Fc1DbxD498,TRUE,817070,1202,18842,470
3363946175,Arun Maini,Mrwhosetheboss,"UK's Largest Tech YouTuber
https://t.co/EjRY8qlf0n","Nottingham, England",https://pbs.twimg.com/profile_images/1301547742519492608/BNRi-te2_normal.jpg,https://t.co/0GAW6t8rK4,TRUE,796529,399,4382,794
17850785,Larry Kim,larrykim,"CEO @MobileMonkey, Founder @WordStream - Columnist @Inc, @Medium, @CNBC. Startups, AdWords, Chatbots. Popularized Unicorns in Marketing. 2 Boys. Christian.","Boston, MA",https://pbs.twimg.com/profile_images/634035372733898752/6aSBCDd9_normal.jpg,https://t.co/lvIODUHxYS,TRUE,762356,592434,81478,10012
4882743003,NHS Million 💙,NHSMillion,We exist to show ongoing support to all the NHS staff across the country who care for a million patients every day. Unofficial but run by NHS staff.,UK,https://pbs.twimg.com/profile_images/1322675085300375553/aGiWB67B_normal.png,https://t.co/7gOWEf9rcD,FALSE,652957,11507,29068,965
22411342,Scott Eddy (my DNA is 🇯🇲 🇱🇧 🇺🇸),MrScottEddy,"Based in South Florida.
My DNA is 🇯🇲 🇱🇧 🇺🇸.
TV host Video Globetrotter (@vgttravelvideos) on @LifetimeTV.
(never check my DM's)","Miami, FL",https://pbs.twimg.com/profile_images/1351546558710480898/Gez1XYHI_normal.jpg,https://t.co/nks8KNhRvi,TRUE,630431,84957,222763,7152
226428094,James Clear,JamesClear,Author of the #1 NYT bestseller Atomic Habits (https://t.co/S97QUDuBUa). I write about building good habits. Over 1 million people read my 3-2-1 newsletter (see link),,https://pbs.twimg.com/profile_images/958932211973152769/FUpkmn4u_normal.jpg,https://t.co/9KfuKZ2MO1,TRUE,437153,507,11958,6219
238834602,Andrew Lowe,andrewlowe,Haha yum,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1021562767478730752/4P5aPfNA_normal.jpg,https://t.co/OvJQJ2fUJ7,TRUE,415270,827,32365,996
6331462,Jessica Verrilli,jess,✨Co-Founder @hashtagangels. General Partner @GVTeam. Previously VP Corp Dev at @Twitter. She / Her.,San Francisco,https://pbs.twimg.com/profile_images/1204377032286769152/m41TkGOX_normal.jpg,https://t.co/0TuAJohs6d,TRUE,355988,2525,30459,2669
