id,name,username,description,location,profile_image_url,url,verified,followers_count,following_count,tweet_count,listed_count
183590543,Andy Green,andersred,"Mainly stuff on football finance with a reform bias. MUFC on the pitch, impartial financial analysis off.
Day job is Head of Investment at Rockpool Investments.",UK,https://pbs.twimg.com/profile_images/1089298079919030272/DxQ_meKo_normal.jpg,http://t.co/IpVOyqsA1E,0,30376,1190,9985,624
133385126,Patrick Dunleavy,PJDunleavy,"Political scientist, LSE - elections & parties, state theory, power, digital government. Also Editor in Chief, @LSEPress. Higher education & academic authoring.","LSE, London",https://pbs.twimg.com/profile_images/1875009340/PJD_picture_2010_normal.jpg,https://t.co/eRUhsE5DMR,0,25574,25637,71401,651
8.25E+17,Mark Lees,WinterfellT,Oldham | Gay | Open Minded | Politics | Environment | Music Lover | Really bad at replying | RTs not endorsements 🏳️‍🌈 #EFTA 🇬🇧🇮🇸🇳🇴🇱🇮🇨🇭,"Dobcross, England",https://pbs.twimg.com/profile_images/1287735298865139712/1HqwKULA_normal.jpg,,0,8580,3893,68115,40
231923667,Patrick Greenfield,pgreenfielduk,📝Reporter @guardian covering biodiversity and the environment. Former @CNNi . patrick.greenfield@guardian.co.uk,London,https://pbs.twimg.com/profile_images/1305562168654520324/TJVmZskK_normal.jpg,https://t.co/kKblUf96Ai,0,7316,4218,312,111
44624289,Paul Cullen,paulcullenit,Health Editor of The Irish Times,"Dublin, Ireland",https://pbs.twimg.com/profile_images/956575028052725765/L6grb7a6_normal.jpg,http://t.co/OxlgMnh2bA,1,10789,1478,3067,135
66321887,Keren Bobker,FinancialUAE,"Qualified experienced Independent Financial Adviser, Dubai. Professional, ethical. Freelance writer incl weekly column in The National. Proper advice + humour.","Dubai, UAE",https://pbs.twimg.com/profile_images/1227292464022614016/BprLx4re_normal.jpg,https://t.co/nV9geL0Qll,1,6226,2558,12524,89
599103365,Ailbhe Rea,PronouncedAlva,"Political Correspondent @NewStatesman. 
https://t.co/bZuHbMt6YW (she/her)",London via Belfast,https://pbs.twimg.com/profile_images/1203286287131828225/b5oOVIQP_normal.jpg,https://t.co/whny0kmebf,0,12555,2674,4986,138
23576998,The Forest of Dean & Wye Valley,VisitDeanWye,"Celebrating the stunning #DeanWye: the ancient Forest of Dean & wild Wye Valley, its landscape, history, wildlife, fun, art, culture, adventure, food & drink!",Forest of Dean & Wye Valley,https://pbs.twimg.com/profile_images/1201471511770673152/WsDz4Du4_normal.jpg,https://t.co/EGZUfYI56x,0,10157,6865,42300,287
48318082,Jamie Reuben,jamiereuben,https://t.co/lG8i0RZlCL -board of @qpr @metro_bank @arenaracingco,London,https://pbs.twimg.com/profile_images/3756199005/80f935ee4f66796eb2e3a14975adeba3_normal.jpeg,https://t.co/1e0gRpcXsr,0,16475,2172,2472,39
295849947,Richard McGregor,mcgregorrichard,"Lowy Institute, Sydney, via Taipei, Tokyo, HK, S'hai, Beijing, London, DC. Author of The Party on CCP; Asia's Reckoning, on China v Japan + XJP: The Backlash.",Sydney,https://pbs.twimg.com/profile_images/637327962581262336/BUyfxfAv_normal.jpg,,0,17085,2147,18624,529
48515966,lucy manning,lucymanning,BBC News special correspondent.,,https://pbs.twimg.com/profile_images/431563562/me_new2_normal.jpg,,1,46357,1182,8563,1054
1.26E+18,Lennie's Tunes,TunesLennie,"♿My name is Lennie and I am 8 years old. I have many challenges including Cerebral Palsy and Hydrocephalus. But most importantly, I play great tunes 🎼🎹🎶","Leeds, UK",https://pbs.twimg.com/profile_images/1256210401781563393/qQMDD4vB_normal.jpg,https://t.co/bf5SZ7PXpN,0,8654,5928,7677,10
117576644,Brian Vastag,brianvastag,"Former Washington Post science reporter, disabled by ME/CFS + myositis. Living a quiet life on a quiet island. Occasional tweets about SCUBA diving.",Kauai,https://pbs.twimg.com/profile_images/1348509850276253698/tGXBylnC_normal.jpg,https://t.co/oggEzrfqfV,1,6155,2721,13761,323
191100226,Hannah Davis 🦈,ahandvanish,"Research, generative music, machine learning/AI, anti-bias in datasets. #longcovid advocate @patientled, admin @itsbodypolitic. She/her.",,https://pbs.twimg.com/profile_images/917965021925249025/sz_z4CML_normal.jpg,https://t.co/Yc2F7pSIw4,0,13953,2999,6797,292
20135947,Oly Duff,olyduff,"Editor-in-chief of THE i PAPER and https://t.co/TB4OHyCM6b | Readership 790,000 daily | Diver, surfer | formerly part-owner Arsenal",United Kingdom,https://pbs.twimg.com/profile_images/730463181944938496/Nd6Y8FXB_normal.jpg,https://t.co/TB4OHyCM6b,1,16656,1322,11863,276
281814030,Paul McNamara,PGMcNamara,Business and Global Trade Correspondent for @Channel4News; all views usually belong to someone else far cleverer and passed off as my own...,London,https://pbs.twimg.com/profile_images/857946217740996609/d_0ysjiX_normal.jpg,https://t.co/h1TnCjSQfz,1,12738,2873,9175,201
2231699054,Bristol News #GoodTrouble #FBPE,RealBristolNews,Bristol News - Find news you need to know,"Bristol, England",https://pbs.twimg.com/profile_images/1283513561550127104/WeaO4szu_normal.jpg,https://t.co/pmMsmm2Ncf,0,6968,7302,154840,116
56310176,Simon Fanshawe,SimonFanshawe,"Change maker with a purpose, co-founder of Stonewall, radio and TV presenter, author, equality and diversity specialist (https://t.co/tJSxvmNsoA)",Brighton,https://pbs.twimg.com/profile_images/311621626/SF__resized__normal.jpg,https://t.co/KPKBgEJcbj,0,8904,2177,9563,61
1445773776,Jamie Powell,ajb_powell,"Occasional bass player, ex-antique salesman, and reporter @FTAlphaville",London,https://pbs.twimg.com/profile_images/972124880543080451/vsrrt-oV_normal.jpg,,0,5462,984,15313,107
14346209,Sean Matsuno,sean,"Twitter since 2008. Japanese, Sichuan, and Italian cooking; whisk(e)y, wine, Nihonshu. Comedy fan",Tokyo,https://pbs.twimg.com/profile_images/592793214735757312/wB5MKxqF_normal.png,https://t.co/Zy1Fa0Wtew,0,10169,2874,9572,399
10467892,Tony Goode,Tonygoode,"Theatre Maker, educationalist. Horrified at the direction of this country. Have never & will never vote Tory!! RT's with no comment = endorsements! #FBPE","Newcastle Upon Tyne, EUROPE",https://pbs.twimg.com/profile_images/886944116889792513/H0he_4yQ_normal.jpg,,0,5585,5852,44155,16
16789906,Jennifer Riggins 🖊😷🧘🏽‍♀️,jkriggins,"tech storyteller, journalist, host | asking, writing, marketing where culture + tech collide | interviews URM first | she/her | 3yo mama | immigrant | hilarious","London, England",https://pbs.twimg.com/profile_images/1110871263399104512/7IthTdkv_normal.jpg,https://t.co/37V24qs6f9,0,6393,4924,21968,654
15480282,Michal Kašpárek,kasparek,"@FINMAG_cz * každý pátek posílám tipy na čtení: https://t.co/nr9lexTLBd * sbírám tu materiál pro román o čtyřicátníkovi, co přestává rozumět světu","Brno, Czech rep.",https://pbs.twimg.com/profile_images/1273224965140230147/Ssw9Tgsm_normal.jpg,http://t.co/cSUCQoznJs,0,5716,493,5067,117
104593820,Elaine Bunting,elainebunting,"☘️ Marine journalist, author, sailor, and former editor Yachting World and group editor of Yachting Monthly, Motorboat & Yachting and Practical Boat Owner",Here and there,https://pbs.twimg.com/profile_images/1358859373662130176/N_m_qTrB_normal.jpg,https://t.co/8sUauphWpL,0,5347,647,43,146
