id,name,username,description,location,profile_image_url,url,verified,followers_count,following_count,tweet_count,listed_count
21447363,KATY PERRY,katyperry,Love. Light.,,https://pbs.twimg.com/profile_images/1299195467301969920/gDTjcVrv_normal.jpg,https://t.co/J1C5sIp4vh,1,109368507,235,11040,129737
44196397,Elon Musk,elonmusk,,,https://pbs.twimg.com/profile_images/1295975423654977537/dHw9JcrK_normal.jpg,,1,45309121,102,13494,62230
224223563,Gerard Piqué,3gerardpique,FCBarcelona football player | Kosmos President & Founder,Barcelona,https://pbs.twimg.com/profile_images/1303854832894312450/YbdVhwef_normal.jpg,,1,19869567,711,2954,26659
15492359,TED Talks,TEDTalks,TED is a nonprofit devoted to spreading ideas. 🔴 Find your next favorite TED Talk with TED Recommends: https://t.co/YCWAuV711r,"New York, NY",https://pbs.twimg.com/profile_images/877631054525472768/Xp5FAPD5_normal.jpg,http://t.co/7qVI5vqFrr,1,11429978,671,38668,53294
17753033,Jonathan Ross,wossy,"I also post self-indulgent moments from my life on Instagram, where I am @mewossy.",London,https://pbs.twimg.com/profile_images/1070457190979432448/5Hbi6wKV_normal.jpg,,1,5053180,9610,26225,11506
24807616,Joseph Gordon-Levitt,hitRECordJoe,Let’s collaborate. @HITRECORD. 😷🔴🤘,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1240376307675844609/U6yY9zOp_normal.jpg,https://t.co/iTshfNewwW,1,4099087,474,46409,15949
63796828,Twitter Verified,verified,Twitter is working on a new authentication and verification process. Learn more: https://t.co/pJnkJXHSy8,San Francisco,https://pbs.twimg.com/profile_images/1354533298685566983/2mZQ3Lpt_normal.jpg,,1,3100190,354457,6,8182
78523300,James Woods,RealJamesWoods,This is the ONLY verified Twitter account for James Woods. I AM ON NO OTHER SOCIAL MEDIA. Any account using my name is a fake.,,https://pbs.twimg.com/profile_images/796482667340382211/CoV8077b_normal.jpg,,1,2430798,4508,36126,8605
18548136,BEATS BY ASSASSIN,BeatsByAssassin,Actor/Director For New Movie Makaveli #IMDB https://t.co/gh9TzQNGXg,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1335840900316950528/YrUOLlKg_normal.jpg,https://t.co/gh9TzQNGXg,0,2367465,2812996,262049,4183
253197582,👸🏼NICOLETTE SHEA💎 TOP .03% ONLYFANS CREATOR,Nicolette_Shea,SUBSCRIBE https://t.co/TfQprZHANh https://t.co/fT8AG1cyvS @clubsheadotcom https://t.co/p4IXfPO4DH https://t.co/25Gq7ClZ4V,"Las Vegas, NV",https://pbs.twimg.com/profile_images/1287142459051397120/FYOYEPoO_normal.jpg,https://t.co/TfQprZHANh,1,2295029,1622,15926,4141
9.03E+17,Justin Sun🌞,justinsuntron,Chinese @sunyuchentron丨@Tronfoundation丨@BitTorrent丨1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent $BTT,Singapore,https://pbs.twimg.com/profile_images/1355516543711420417/GrWZSMIB_normal.jpg,,1,2201037,1502,11287,3812
2228878592,Andrew Yang🧢🗽🇺🇸,AndrewYang,"Entrepreneur, Dad, Champion of a Human-Centered Economy, and running to be the next Mayor of NYC. Help fund our campaign: https://t.co/Qk7kLRb7mr","New York, USA",https://pbs.twimg.com/profile_images/1349521906706354177/mMpGU3vk_normal.jpg,https://t.co/bkShnY0pCV,1,1988647,7998,25291,6101
11740902,Tim Ferriss,tferriss,"Author of 5 #1 NYT/WSJ bestsellers, investor (FB, Uber, Twitter, 50+ more: https://t.co/tBnbIBz2ar), host of The Tim Ferriss Show podcast (600M+ downloads)",Global,https://pbs.twimg.com/profile_images/49918572/half-face-ice_normal.jpg,https://t.co/woNsiQf3Jt,1,1715896,2116,29935,22787
21360280,Murray Newlands,MurrayNewlands,"Contributor Forbes, Entrepreneur Mag. #popart #art","Palo Alto, CA",https://pbs.twimg.com/profile_images/701441124758466564/dQIjxJO3_normal.jpg,https://t.co/TUt5Kj9vrO,1,1624001,1231079,27151,6607
116994659,Sam Harris,SamHarrisOrg,"Author of The End of Faith, FreeWill, and other bestselling books; host of the Making Sense podcast; and creator of the Waking Up app (@wakingup).",,https://pbs.twimg.com/profile_images/1258982988781506561/hz5gbQYa_normal.jpg,https://t.co/Wc8q0FHn8A,1,1463646,535,9464,11072
160910872,Ricardo Amorim,Ricamconsult,Economista sem economês e com bom humor. Ganhador do Prêmio iBest e maior influenciador latino-americano no LinkedIn. https://t.co/lmqTP55Tfq,São Paulo,https://pbs.twimg.com/profile_images/1327606670453854211/QxCVNmHW_normal.jpg,https://t.co/73wLYbNQm4,1,1422276,2242,30006,1901
26548315,Soledad O'Brien,soledadobrien,working mom,New York,https://pbs.twimg.com/profile_images/1317585860481736704/2UG16TCA_normal.jpg,https://t.co/bpjy55iFNE,1,1345025,438138,104442,10682
183749519,Paul Graham,paulg,,,https://pbs.twimg.com/profile_images/1824002576/pg-railsconf_normal.jpg,http://t.co/fDpOM1QB6e,1,1282748,587,22681,12835
276540738,𝑪𝒍𝒂𝒊𝒓𝒆 𝒅𝒆 𝑳𝒖𝒏𝒆࿎,Grimezsz,𓁿 ☘︎𝔊𝔯𝔦𝔪𝔢𝔰࿎ Otherkin • Chaotic Good • L'art pour l'art 🗡 格莱姆斯,Gentrify Mordor 🐉,https://pbs.twimg.com/profile_images/1344188027157901312/y9-b3_gh_normal.jpg,https://t.co/icAx3EPxQ3,1,1152536,895,2964,2942
603660185,CSuiteConfess,CSuiteConfess,Helping Executives Navigate a #MeToo World,London / LA,https://pbs.twimg.com/profile_images/1206030843765870592/IIvn-xnb_normal.jpg,,0,1101287,476341,742073,394
