id,name,username,description,location,profile_image_url,url,verified,followers_count,following_count,tweet_count,listed_count
15439395,Stephen Fry,stephenfry,Hello there .… this is Stephen. I don’t read Direct Messages I’m afraid. TROY available here https://t.co/l3c5kPjXja or as an audiobook,"Los Angeles, CA/ London UK",https://pbs.twimg.com/profile_images/842053173757984768/ZYLuzKYt_normal.jpg,,1,12632118,48722,24844,51761
18208354,Joe Rogan,joerogan,Stand up comic/mixed martial arts fanatic/psychedelic adventurer Host of The Joe Rogan Experience #FreakParty https://t.co/caBUmcvqBY,,https://pbs.twimg.com/profile_images/552307347851210752/vrXDcTFC_normal.jpeg,https://t.co/UoPqZeUr22,1,7045407,3865,45755,21169
5695632,BuzzFeed,BuzzFeed,"Brb, taking quizzes.",New York,https://pbs.twimg.com/profile_images/687767655214891008/n9pHVYUl_normal.png,https://t.co/iiAufe34NG,1,6449282,2892,265862,21153
15131310,Whole Foods Market,WholeFoods,"We’re the place to discover new flavors, new favorites and new ideas, whatever those might be. Tag your food obsession of the moment with #MakesMeWhole.","Austin, TX",https://pbs.twimg.com/profile_images/1037450039553978368/iuMg_L3Q_normal.jpg,https://t.co/85xEe2ZD2o,1,4319397,487308,259198,21083
49849732,Gustavo Petro,petrogustavo,Perfil Oficial del dirigente político progresista colombiano Gustavo Petro. Por una Colombia Humana con justicia social y en Paz,"ÜT: 4.650541,-74.074043",https://pbs.twimg.com/profile_images/962471262747529216/Uo8lOkRJ_normal.jpg,https://t.co/ho5XWkfwTr,1,4056222,2483,130948,4727
14055301,Save the Children US,SavetheChildren,Save the Children is an international humanitarian organization that has been protecting children around the world for more than 100 years. ❤️,"Fairfield, CT USA",https://pbs.twimg.com/profile_images/1215392034896244736/S__8tXpk_normal.jpg,https://t.co/PmmbfdZ0kd,1,2811299,4825,33410,9095
53297035,Kristen Bell,KristenBell,let's be friends.,"Los Angeles, California",https://pbs.twimg.com/profile_images/1307162966081634305/AxNusDgG_normal.jpg,,1,2740143,414,8646,14653
21774892,Mandy Moore,TheMandyMoore,"Singer-Songwriter-Actress on @NBCThisIsUs, Tuesdays 9/8c on @NBC 
New holiday songs out now!","Los Angeles, CA",https://pbs.twimg.com/profile_images/1087859697569263618/p-sO23R5_normal.jpg,https://t.co/tYmkvTl9FN,1,2388022,794,5855,14693
76351820,Louis Theroux,louistheroux,I am involved in the making of documentaries. Warning: Some tweets may contain irony.,London,https://pbs.twimg.com/profile_images/561352350263029761/swGNWK93_normal.jpeg,https://t.co/kSAkJDczWc,1,2230598,2350,3845,3470
33923443,MarQuis Trill • 11 Million Followers • The Goat 🐐,6BillionPeople,#1 Twitter Account For Most Following 📰Featured in Forbes • Ted Talks • NasdaQ | CEO/Creator of Model Agency @Modelfanscom | Cryptocurrency Blockchain Investor,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1329482041713324033/Ufnn5hxP_normal.jpg,https://t.co/4Biv0dyJXC,1,2152289,4258101,181534,4149
77653794,Iván Duque 🇨🇴,IvanDuque,"Presidente de la República de Colombia 🇨🇴 2018-2022. Legalidad, Emprendimiento y Equidad. #ElFuturoEsDeTodos",,https://pbs.twimg.com/profile_images/1354213416819445763/yth8HIxq_normal.jpg,https://t.co/4izGiG5D2C,1,2148930,1782,30178,2108
