id,name,username,description,location,profile_image_url,url,verified,followers_count,following_count,tweet_count,listed_count
260478229,David Wallace-Wells,dwallacewells,"Central Park East, New York magazine, THE UNINHABITABLE EARTH.",,https://pbs.twimg.com/profile_images/1089335211421302784/SWVjwzZE_normal.jpg,,0,64969,1915,25474,1231
74051281,Chris Blattman,cblatts,"University of Chicago economist and political scientist studying violence, organized crime, and development @HarrisPolicy & @PearsonInst","Chicago, IL",https://pbs.twimg.com/profile_images/978487053531824128/mUfcmKsA_normal.jpg,https://t.co/uXDGoAMpJx,0,77264,3845,25718,1874
77190386,Capital Enterprise,capenterprise,We are London’s startup experts; connecting and energising a world-class entrepreneurship ecosystem.,London,https://pbs.twimg.com/profile_images/973561869834309632/9i6PyESt_normal.jpg,https://t.co/BFy7hZLLbZ,0,5857,2963,9195,221
96564060,Steve Gutzler,SteveGutzler,"International Bestselling #Author ~ Inspiring Greatness in Others and #KeynoteSpeaker on #EmotionalIntelligence, and Unleashing the #Leader Inside You!","Seattle, WA",https://pbs.twimg.com/profile_images/1182413799300616193/8HdOpNja_normal.jpg,https://t.co/RcS68kGHp7,0,142624,91352,78252,2458
440356809,Tseveenjav Lkhanaa,tseveenjavL,Nothing is impossible if you set your mind to achieving it ❤️  #InternationalUniversityofJapan,Japan,https://pbs.twimg.com/profile_images/1338185440461873153/iIQQDTdK_normal.jpg,https://t.co/kYJTmQ5do9,0,7045,5306,4866,12
18622869,Ezra Klein,ezraklein,"Columnist, @NYTOpinion
Author, ""Why We're Polarized""
Host of ""The Ezra Klein Show"" podcast",,https://pbs.twimg.com/profile_images/1205000761521819648/JAI78T4j_normal.jpg,https://t.co/fsyIeRp1ut,1,2707117,1349,5010,23104
1356205700,Kia‏☆,alt_kia,⁂ highly responsive to protons ✦ https://t.co/E673wvW5jD ⁂,to fail and know we fail,https://pbs.twimg.com/profile_images/1357168007055872000/QQez_OqS_normal.jpg,https://t.co/kHk5Y3bGi6,0,6492,4547,25584,88
169974430,Jason Kuznicki,JasonKuznicki,"Editor, Cato Books and @CatoUnbound. Classical liberal: free thought, free trade, and free migration.","Washington, DC",https://pbs.twimg.com/profile_images/831919756735369219/VD27gRRz_normal.jpg,https://t.co/rJoiEebZuS,1,5553,467,40908,236
3707066718,Stephan T. Lavavej,StephanTLavavej,"Programmer-Archaeologist, Visual C++ Libraries. Pronounced Steh-fin Lah-wah-wade, or just STL.","Redmond, WA",https://pbs.twimg.com/profile_images/666507142212382720/MCD-HZ3G_normal.png,https://t.co/2xiMS2biAq,0,8384,113,3480,142
15133808,Paul Maynard MP,PaulMaynardUK,"Twitter account of Paul Maynard, Member of Parliament for Blackpool North and Cleveleys",Blackpool North and Cleveleys,https://pbs.twimg.com/profile_images/584611420052004864/sWGydCwV_normal.jpg,https://t.co/xEMSQMrdF7,1,19044,8386,4242,447
